tid,date,type,price,amount
18373202,1735268724,buy,597343.79772868,0.00016623
18373203,1735268750,sell,596857.16355999,0.00016648
18373204,1735268761,buy,596915.11583710,0.00010753
18373205,1735268797,sell,596870.56285864,0.00004657
18373206,1735268870,buy,597158.07000000,0.00000222
18373207,1735268870,buy,597158.07000000,0.00000222
18373208,1735268870,buy,597343.78000000,0.00000222
18373209,1735268870,buy,597343.79000000,0.00000222
18373210,1735268870,buy,597343.79000000,0.00000222
18373211,1735268870,buy,597973.52789617,0.00898888
18373212,1735268883,buy,597973.51999999,0.00011060
18373213,1735268903,buy,597950.41999999,0.00770000
18373214,1735268903,buy,597950.41999999,0.01710000
18373215,1735268903,buy,597950.42000000,0.00000222
18373216,1735268903,buy,597973.52000000,0.00000222
18373217,1735268950,buy,597817.54463253,0.01710000
18373218,1735268950,buy,597973.51000000,0.00000222
18373219,1735268950,buy,597973.52000000,0.00000222
18373220,1735268965,sell,597973.52000000,0.00003954
18373221,1735268966,buy,597973.52000001,0.00002508
18373222,1735268984,buy,597973.52000001,0.00017426
18373223,1735269022,buy,597973.52000001,0.00000162
18373224,1735269042,sell,597973.52005000,0.00004657
18373225,1735269044,sell,597973.52005000,0.00004754
18373226,1735269053,buy,598172.83802853,0.00003757
18373227,1735269069,sell,597973.52000000,0.00003571
18373228,1735269076,sell,597973.52000000,0.00000828
18373229,1735269092,buy,598172.82999999,0.00016435
18373230,1735269096,sell,597973.52000000,0.00033386
18373231,1735269133,sell,597973.52020012,0.00016789
18373232,1735269146,buy,598172.81999986,0.00042629
18373233,1735269159,sell,597973.52000000,0.00002501
18373234,1735269170,buy,598172.80999999,0.00017421
18373235,1735269183,sell,597973.52015012,0.00005000
18373236,1735269187,sell,597973.52030010,0.00014381
18373237,1735269211,sell,597973.52060046,0.00020131
18373238,1735269215,sell,597973.52070046,0.00031594
18373239,1735269223,buy,598172.79000000,0.00000222
18373240,1735269223,buy,598172.80000000,0.00000222
18373241,1735269223,buy,598172.81000000,0.00000222
18373242,1735269223,buy,598172.82000000,0.00000222
18373243,1735269223,buy,598172.83000000,0.00000222
18373244,1735269223,buy,598194.67000000,0.00000222
18373245,1735269223,buy,598488.99989997,0.00096955
18373246,1735269231,sell,597973.52070046,0.00016784
18373247,1735269241,sell,597973.52070046,0.00000503
18373248,1735269252,buy,598458.74999999,0.00004052
18373249,1735269256,buy,598458.74999999,0.00002376
18373250,1735269261,buy,598458.74999999,0.00000324
18373251,1735269267,sell,597973.52070046,0.00004657
18373252,1735269269,buy,598458.74999999,0.00008044
18373253,1735269289,buy,598458.72999999,0.00001009
18373254,1735269313,buy,598458.70999999,0.00001159
18373255,1735269315,sell,598020.04207833,0.00012167
18373256,1735269339,sell,598006.89237288,0.00487125
18373257,1735269371,buy,598275.70606451,0.00017418
18373258,1735269400,buy,598210.26400039,0.00017420
18373259,1735269400,buy,598210.26400037,0.00015807
18373260,1735269417,sell,597973.52000000,0.00000290
18373261,1735269428,buy,598210.24999999,0.00041498
18373262,1735269435,buy,598210.24999999,0.00008108
18373263,1735269460,sell,597973.52000000,0.00016781
18373264,1735269468,sell,597973.52000000,0.00013226
18373265,1735269471,sell,597973.52000000,0.00007522
18373266,1735269560,buy,597997.35999999,0.00000162
18373267,1735269564,buy,597997.36000000,0.00000222
18373268,1735269564,buy,598152.91677679,0.00165304
18373269,1735269570,buy,598152.91677679,0.00008359
18373270,1735269590,buy,598210.21000000,0.00000222
18373271,1735269590,buy,598210.23000000,0.00000222
18373272,1735269590,buy,598210.25000000,0.00000222
18373273,1735269590,buy,598275.69000000,0.00000222
18373274,1735269590,buy,598329.48999999,0.00002354
18373275,1735269609,buy,598329.48999999,0.00001297
18373276,1735269628,buy,598329.49000000,0.00000222
18373277,1735269628,buy,598458.69000000,0.00000021
18373278,1735269678,buy,598458.69000000,0.00000201
18373279,1735269678,buy,598458.71000000,0.00000222
18373280,1735269678,buy,598458.73000000,0.00000222
18373281,1735269678,buy,598458.75000000,0.00000222
18373282,1735269678,buy,598488.99989998,0.00079133
18373283,1735269703,buy,598541.84000000,0.00000222
18373284,1735269703,buy,598611.52000000,0.00000222
18373285,1735269703,buy,598611.53000000,0.00000222
18373286,1735269703,buy,598713.33000000,0.00000144
18373287,1735269709,buy,598713.33000000,0.00000078
18373288,1735269709,buy,598884.98994997,0.00000731
18373289,1735269717,sell,598344.13645912,0.00001161
18373290,1735269726,buy,598843.74084382,0.00000178
18373291,1735269748,sell,598462.89078945,0.00085000
18373292,1735269755,buy,598843.74084313,0.00001669
18373293,1735269766,sell,598463.26041307,0.00253226
18373294,1735269774,buy,598843.74084301,0.00002429
18373295,1735269787,buy,598843.74084301,0.00001669
18373296,1735269803,buy,598843.74084292,0.00018058
18373297,1735269816,sell,598326.62534013,0.00017071
